,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KRT8,5.533311,-0.036833897,-0.043316334,2.4015872,6.5700474,-0.036915448,8.262451,-0.01247891,4.215578,-0.049540367,5.4867697,4.3823075,-0.07416034,3.3055553,-0.06967496,-0.086021185
APPBP2,5.504801,-0.036504768,-0.042699188,2.3957324,6.5624022,-0.036895894,8.20721,-0.01257683,4.1874957,-0.04944662,5.4544053,4.379877,-0.07351653,3.2561173,-0.06911865,-0.08545436
GM24455,2.1227217,-0.006763128,-0.004563314,1.2168757,2.8955717,-0.012337176,3.088347,-0.0073348945,1.2669576,-0.023925954,2.7710757,2.5743306,-0.022702962,1.2869514,-0.023638291,-0.02619931
GM26280,2.125866,-0.006722875,-0.004551813,1.2158393,2.9007926,-0.0123694455,3.0939968,-0.007304875,1.2614816,-0.023916917,2.7759163,2.5736458,-0.022714874,1.2835456,-0.023706151,-0.026271906
SOX2,2.7595162,-0.008100184,-0.004891809,1.3786951,3.423026,-0.017140685,3.6778252,-0.008757936,1.7706474,-0.027809242,2.9687872,2.845683,-0.027931334,1.1278523,-0.027385134,-0.034415737
GM37746,2.126302,-0.006726866,-0.0045521297,1.2159989,2.8993554,-0.012379736,3.09303,-0.0072993464,1.2620114,-0.023908097,2.7752593,2.5747542,-0.022723623,1.2845899,-0.023699684,-0.026259912
LEFTY2,5.514585,-0.036616508,-0.042931765,2.3957615,6.5574303,-0.036915362,8.222852,-0.012532834,4.1994977,-0.049488805,5.4563727,4.371364,-0.073763676,3.276685,-0.06929069,-0.08569187
SSBP4,5.502603,-0.036550794,-0.042799067,2.3935213,6.549957,-0.03688294,8.208083,-0.012529464,4.1915708,-0.049429484,5.4475074,4.3695273,-0.07362358,3.2638729,-0.06911277,-0.08551489
APBB1,5.5083466,-0.036574572,-0.04285406,2.3929572,6.545389,-0.036859658,8.214209,-0.012516924,4.194281,-0.049426734,5.4512177,4.367498,-0.073668465,3.2673059,-0.06914257,-0.08554326
SEMA4C,5.9756756,-0.017748874,-0.021558573,1.49022,5.9685907,-0.02831328,6.9896364,-0.009878438,3.119596,-0.027460005,4.2441587,3.3008635,-0.046759266,1.8063451,-0.051115315,-0.07210312
QDPR,5.4970407,-0.03644279,-0.0426523,2.3932478,6.549815,-0.036863293,8.194893,-0.012517088,4.1893983,-0.049381036,5.4431257,4.3699846,-0.073525116,3.2598097,-0.069007024,-0.0853423
CITED1,5.4543614,-0.03625035,-0.04219701,2.3824844,6.5105953,-0.036763147,8.139369,-0.012501595,4.1591287,-0.049217597,5.3959656,4.3504734,-0.072963454,3.2129033,-0.068354584,-0.08479263
SMAD4,4.8620424,-0.03066764,-0.034075674,2.2210355,5.909894,-0.033253226,7.2377734,-0.011241456,3.7110627,-0.044919863,4.85204,4.0679636,-0.06422508,2.7273602,-0.05964093,-0.07524459
IFITM1,5.505014,-0.03659118,-0.042802628,2.3977842,6.5626407,-0.036894094,8.214701,-0.012532752,4.192696,-0.049474604,5.4567437,4.376237,-0.073609576,3.2666442,-0.06919678,-0.08551958
ELL2,5.5792994,-0.034644194,-0.041189633,2.3731256,6.6513634,-0.036793508,8.149407,-0.013659494,4.1112714,-0.0492237,5.549452,4.444828,-0.072502725,3.2207968,-0.06834811,-0.084571294
GM45236,2.125866,-0.006722875,-0.004551813,1.2158393,2.9007926,-0.0123694455,3.0939968,-0.007304875,1.2614816,-0.023916917,2.7759163,2.5736458,-0.022714874,1.2835456,-0.023706151,-0.026271906
ELP2,5.485371,-0.032754,-0.03943773,2.404272,6.7539544,-0.03846095,8.089073,-0.010427228,4.055175,-0.051012192,5.4112334,4.0288024,-0.07196976,3.395613,-0.06746617,-0.08286703
MAPK3,5.521981,-0.03681097,-0.04316081,2.401694,6.5693026,-0.036893815,8.249087,-0.012516019,4.2071295,-0.04953603,5.480454,4.3858867,-0.07394403,3.2873986,-0.06951629,-0.08580133
CSRP2,5.519928,-0.03681045,-0.04318939,2.3997045,6.561391,-0.036869474,8.244474,-0.012503114,4.2091727,-0.049501136,5.475844,4.3793335,-0.073979855,3.2921503,-0.069503404,-0.085814744
CCND1,5.04193,-0.03278021,-0.043353118,1.5630578,5.70287,-0.032797504,7.8137174,-0.006467734,3.9486256,-0.03842508,5.5342402,3.665651,-0.07565565,3.6358006,-0.062102098,-0.07762235
ANKRD6,5.458603,-0.036220755,-0.04217767,2.3833687,6.5115943,-0.03672944,8.131572,-0.012519268,4.1595163,-0.049179763,5.398518,4.34965,-0.07289484,3.2148504,-0.06842283,-0.08477899
SIRT1,5.4928017,-0.03650321,-0.042646255,2.390607,6.542981,-0.036845528,8.19525,-0.012526148,4.182281,-0.04938015,5.4414463,4.37039,-0.07342073,3.2482297,-0.068945624,-0.08530073
CRTAP,5.4895473,-0.036450375,-0.0425656,2.3927019,6.546038,-0.036863353,8.186397,-0.012519185,4.1805406,-0.04937715,5.4360104,4.3690023,-0.073365994,3.2451165,-0.06890697,-0.08526547
CACHD1,5.518493,-0.036533665,-0.04277315,2.399323,6.579301,-0.037014455,8.224744,-0.012583462,4.195563,-0.049547434,5.4642634,4.387053,-0.073691964,3.263357,-0.06925718,-0.08567171
CENPV,5.519566,-0.036692657,-0.04311896,2.3968918,6.5599403,-0.03685332,8.238044,-0.012506803,4.2013917,-0.04946392,5.473601,4.37509,-0.07388433,3.2896044,-0.06946598,-0.08575492
UBE2S,5.4901137,-0.03631797,-0.042442314,2.3928452,6.5578446,-0.036872808,8.179128,-0.012551076,4.173506,-0.0493697,5.4411907,4.3724155,-0.073249884,3.2432537,-0.068913534,-0.08519173
VSIR,5.518837,-0.036702543,-0.04304711,2.3984692,6.557793,-0.036877565,8.232954,-0.012535156,4.2026052,-0.049490858,5.463366,4.3754435,-0.073817044,3.2812488,-0.06930832,-0.08568488
SP8,5.506931,-0.03655417,-0.04276601,2.398498,6.5653844,-0.03694448,8.212462,-0.01252897,4.194057,-0.049492564,5.453973,4.375732,-0.07363518,3.2646658,-0.06917329,-0.08555317
TMSB4X,5.519408,-0.036763802,-0.043127436,2.4019003,6.5581417,-0.036824476,8.232675,-0.012536313,4.207483,-0.04948834,5.4663377,4.37215,-0.07384691,3.2917821,-0.06941229,-0.08571261
