,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PDCD2,3.3487637,-0.020280289,4.9856644,6.390399,9.53933,-0.030207532,-0.006636088,-0.062631,-0.007912175,-0.029739296,2.3856654,4.8719435,4.884436,-0.034643345,-0.0011466355,-0.049623102
MBTD1,3.303902,-0.020063056,4.9116354,6.2935176,9.403161,-0.029725479,-0.0063835667,-0.06156685,-0.00780135,-0.029068671,2.3533928,4.790598,4.836056,-0.03424447,-0.0011216545,-0.04903439
SMAD2,3.1093278,-0.018800851,4.850746,6.1083527,9.227464,-0.028796148,-0.007572299,-0.061027627,-0.0059115994,-0.0298583,2.4095051,4.638088,4.664411,-0.032172695,-0.0012296156,-0.047910918
ARID3B,3.424713,-0.020632952,5.0963116,6.512799,9.748477,-0.030858602,-0.0065891324,-0.064073734,-0.007821174,-0.030397704,2.4417596,4.978361,4.9920926,-0.035246693,-0.0011103344,-0.050482027
HOMER1,3.46825,-0.020674573,5.1551027,6.5415936,9.796882,-0.030888977,-0.00690899,-0.06416031,-0.007954001,-0.030418927,2.4336107,5.0263715,5.042463,-0.035391655,-0.0011645711,-0.050960906
GYPE,3.3968303,-0.020550517,5.067479,6.444823,9.668753,-0.030663373,-0.00658288,-0.06349253,-0.0076144687,-0.03007151,2.4197814,4.947765,4.9481688,-0.03491088,-0.0011090563,-0.050035924
ZBTB2,2.991205,-0.018094182,4.913919,5.860134,9.129708,-0.028070478,-0.008757567,-0.058475323,-0.0040526614,-0.028613836,2.5046678,4.6423635,4.567731,-0.032590564,-0.0018867826,-0.045880254
MRS2,2.991205,-0.018094182,4.913919,5.860134,9.129708,-0.028070478,-0.008757567,-0.058475323,-0.0040526614,-0.028613836,2.5046678,4.6423635,4.567731,-0.032590564,-0.0018867826,-0.045880254
ISCA1,3.4820743,-0.02076547,5.1711383,6.561711,9.833895,-0.031045668,-0.006913726,-0.06437468,-0.007896783,-0.03050312,2.4485478,5.0517273,5.0559196,-0.03545706,-0.0010657033,-0.05107633
AMN1,3.6625361,-0.019023933,5.155914,6.9256783,9.749579,-0.032409634,-0.0097989235,-0.068249136,-0.01388926,-0.037164893,2.1285715,5.0509725,4.6714325,-0.041392427,-0.002173142,-0.04811777
ITGA4,3.6563015,-0.021716995,5.475077,6.872324,10.391338,-0.03277723,-0.00787872,-0.06792017,-0.007903739,-0.032400604,2.6075764,5.348222,5.293448,-0.037340228,-0.00083160744,-0.05356892
CYP1B1,3.564327,-0.021157913,5.3069916,6.722045,10.094049,-0.031883076,-0.007124313,-0.06622283,-0.007900329,-0.031528704,2.51299,5.188133,5.1674924,-0.03634232,-0.0010481577,-0.052122425
POLR2A,3.375873,-0.02034323,5.0214834,6.3979793,9.57918,-0.030267945,-0.006709734,-0.062729545,-0.007856692,-0.029697012,2.388005,4.89812,4.9221873,-0.034714524,-0.0010867115,-0.049867135
IGDCC4,3.3800561,-0.0102474345,4.329319,5.0769496,8.573325,-0.023630716,-0.006791297,-0.057969436,0.44577545,-0.03156537,3.703792,4.0774584,3.6061141,-0.022250824,-0.0060466207,-0.0361974
AIF1L,2.8189034,-0.02022083,4.430612,4.225197,7.8340545,-0.020686695,-0.01693823,-0.04736244,-0.010218646,-0.015238649,1.9328932,5.260275,2.9737155,-0.03077751,-0.0022315239,-0.042616587
NIPSNAP1,3.4566479,-0.020569485,5.128967,6.5231304,9.773549,-0.030783428,-0.0068203593,-0.06393811,-0.007850782,-0.03028707,2.428949,5.0174904,5.0258346,-0.035246883,-0.0010938995,-0.0507632
VHL,3.5198271,-0.02109882,5.2610035,6.6510706,9.996754,-0.031641476,-0.0071466696,-0.0655329,-0.0078088096,-0.03115528,2.4934614,5.1360106,5.1155157,-0.03600579,-0.0010210532,-0.051713772
KLHL6,3.3968303,-0.020550517,5.067479,6.444823,9.668753,-0.030663373,-0.00658288,-0.06349253,-0.0076144687,-0.03007151,2.4197814,4.947765,4.9481688,-0.03491088,-0.0011090563,-0.050035924
NR3C1,3.543547,-0.02115341,5.358113,6.735744,10.2046795,-0.03228221,-0.008015566,-0.06700087,-0.00741264,-0.03236666,2.6063433,5.212061,5.1454344,-0.036454313,-0.0008784248,-0.052360516
SECISBP2L,3.316355,-0.020134611,4.9312897,6.3299284,9.452025,-0.029868884,-0.006410923,-0.06193639,-0.00786832,-0.029282533,2.3659306,4.810087,4.8580523,-0.034420133,-0.0011495621,-0.049265563
SH3BP5,3.3781042,-0.020317575,5.0117607,6.396308,9.5618925,-0.030195886,-0.006594201,-0.06263049,-0.007941144,-0.029608134,2.3779128,4.8911047,4.92168,-0.034720812,-0.0011336653,-0.04981602
ARID3A,3.7082434,-0.021892829,5.5451064,6.943194,10.516893,-0.033112183,-0.0081322035,-0.068593696,-0.007967664,-0.032732394,2.6372411,5.4226494,5.356636,-0.037775528,-0.0007295386,-0.054180663
ASNS,3.2176259,-0.019649362,4.7795186,6.1684537,9.190448,-0.029029336,-0.0062988093,-0.06010594,-0.007884887,-0.028416082,2.2926948,4.6691737,4.7345896,-0.0335913,-0.0012355415,-0.04809317
ARHGAP28,3.1510339,-0.019508276,4.7082787,6.090637,9.07936,-0.02869007,-0.006126634,-0.059474148,-0.007764933,-0.028057639,2.2761164,4.585031,4.662532,-0.03327526,-0.0012278819,-0.047538113
TJP2,3.22161,-0.019708557,4.799923,6.179808,9.229278,-0.02909733,-0.0061738556,-0.06034798,-0.0076990817,-0.028440043,2.3155253,4.6777935,4.7473116,-0.033762958,-0.001222304,-0.048217893
UCHL3,3.3714397,-0.020370238,5.023333,6.407207,9.586983,-0.030313969,-0.0067560957,-0.062812395,-0.007883587,-0.029792657,2.401257,4.890982,4.92288,-0.034790736,-0.001108198,-0.04993574
RIN2,3.48277,-0.02100721,5.23307,6.6019635,9.9627495,-0.031556904,-0.007340824,-0.06527653,-0.0076147146,-0.03116789,2.501582,5.114528,5.070957,-0.035863508,-0.00089175685,-0.05141055
URB2,3.4634447,-0.020793429,5.153923,6.553556,9.817683,-0.031043079,-0.006893425,-0.06433284,-0.007948058,-0.030514065,2.4547672,5.0241218,5.04264,-0.035510276,-0.0010575573,-0.051007003
DNAJC16,3.1506886,-0.019457672,4.712336,6.076839,9.059696,-0.028656758,-0.0062054205,-0.059172124,-0.0076205265,-0.02795038,2.284943,4.5790095,4.663634,-0.033196893,-0.001132442,-0.04751622
RAX2,2.9902558,-0.018103868,4.9092364,5.855459,9.129996,-0.028066255,-0.008719368,-0.058449548,-0.004029435,-0.028599903,2.506604,4.646103,4.5672884,-0.032588173,-0.0018547457,-0.045846418
HIF1A,3.284331,-0.019979047,4.8931947,6.3044014,9.403069,-0.029712085,-0.0064505064,-0.061637554,-0.007818669,-0.029249229,2.3585124,4.7773123,4.8209314,-0.034214098,-0.001192306,-0.048990417
PHC1,3.5567014,-0.02128945,5.3552375,6.7349706,10.143708,-0.03201733,-0.0074701905,-0.06666431,-0.0078050247,-0.0318333,2.54636,5.19681,5.1780405,-0.036465716,-0.0012509418,-0.0524933
DNAJB14,3.7137609,-0.021979198,5.581145,6.957975,10.594023,-0.033368833,-0.00845434,-0.06889014,-0.007748754,-0.032960303,2.667532,5.4534783,5.377481,-0.038058195,-0.00047681405,-0.054399546
PDGFRA,3.4006414,-0.0204258,5.0554013,6.4384427,9.635309,-0.030429883,-0.006790539,-0.06311682,-0.007949406,-0.029913208,2.3952172,4.93236,4.951623,-0.034936376,-0.0011114144,-0.050153375
