,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A1BG,-0.011138458,-0.031139426,3.436588,1.7447915,5.0432196,8.534225,-0.058774054,-0.06293436,-0.066217504,-0.06992808,-0.024259144,6.5805287,-0.065669075,-0.06540884,0.040230446,1.972022
A2M-AS1,-0.012406802,-0.029659238,3.4572425,1.8649592,4.9929104,8.635104,-0.057830594,-0.0620683,-0.06759274,-0.068963036,-0.025088003,6.453794,-0.06643772,-0.064938754,0.007933378,1.8708657
A4GALT,0.07130303,-0.006609612,0.34000075,0.28700808,0.87663674,1.2549784,-0.004406452,-0.004441488,-0.010886627,-0.005968127,-0.0026651055,0.83070934,-0.0065776696,-0.0091523435,0.041784562,0.65673923
AAAS,-0.001437336,-0.008015477,0.5426181,0.00747405,1.081881,1.3911161,-0.008681224,-0.00865862,-0.011460096,-0.010539606,-0.0016109882,0.98954546,-0.007330013,-0.009014804,0.016149014,0.4997697
AACS,-0.0016072073,-0.009196813,0.5868409,0.46013558,1.4106747,1.9086956,-0.008050768,-0.010267364,-0.015214005,-0.011213481,-0.0051783873,1.2375119,-0.012545833,-0.013044798,-0.00079752784,0.8923893
AAED1,-0.012406802,-0.029659238,3.4572425,1.8649592,4.9929104,8.635104,-0.057830594,-0.0620683,-0.06759274,-0.068963036,-0.025088003,6.453794,-0.06643772,-0.064938754,0.007933378,1.8708657
AAGAB,-0.00069449015,-0.0058596055,0.42841586,-0.00067621877,0.6549936,0.92838144,-0.0066065704,-0.0047553726,-0.007116272,-0.008848769,0.023974255,0.93790436,-0.0034556808,-0.0062648575,0.05931075,0.3646615
AAK1,-0.0021200553,-0.010721464,0.8935485,0.042651504,1.5006288,1.8417033,-0.011310709,-0.012853833,-0.013930498,-0.015375417,-0.0023244703,1.140282,-0.013700443,-0.0126684755,-0.0010070865,0.32333285
AAMDC,-0.0003018564,-0.007909661,0.48174176,0.013661176,1.0243548,1.4780082,-0.008597335,-0.007559809,-0.011545884,-0.010521207,-0.0021671755,1.0890112,-0.006967852,-0.009980325,0.14348245,0.52347344
AAR2,-0.0014489192,-0.008163448,0.7897396,0.077874616,1.1283858,1.8429549,-0.011319388,-0.011725338,-0.01335078,-0.013385607,-0.0040466404,1.4355196,-0.0111359665,-0.01244068,0.038770325,0.64787346
AARSD1,-0.012406802,-0.029659238,3.4572425,1.8649592,4.9929104,8.635104,-0.057830594,-0.0620683,-0.06759274,-0.068963036,-0.025088003,6.453794,-0.06643772,-0.064938754,0.007933378,1.8708657
AASDHPPT,-0.014232691,-0.029911306,3.3457603,1.9575316,4.99811,8.408204,-0.059416305,-0.06130561,-0.06543382,-0.069817625,-0.023950495,6.4805107,-0.06358179,-0.06291551,0.032503612,1.6280344
AATBC,-0.0004502936,-0.01077162,0.62652653,0.040997297,1.1822234,1.7580065,-0.007600939,-0.010314127,-0.013938206,-0.011920409,-0.0041565145,1.0795352,-0.012895956,-0.012187498,-0.0016173638,0.5599135
AATK,0.1190509,-0.0064449953,0.3677208,0.22386882,0.80798686,1.1619722,-0.004600577,-0.004654922,-0.010328456,-0.006093535,-0.0021305205,0.83300495,-0.0057434193,-0.008539813,0.055641763,0.6572723
ABALON,0.10174612,-0.006255398,0.33592975,0.24506581,0.7991866,1.1668551,-0.0043122238,-0.0041626105,-0.010347937,-0.0056296294,-0.0024190934,0.7998141,-0.006118061,-0.008586101,0.036486834,0.64177895
ABAT,-0.0007323557,-0.007139296,0.564799,0.069375664,0.92477727,1.1131345,-0.006746899,-0.008233589,-0.009158417,-0.0086835055,-0.0015785878,0.7403418,-0.0074659204,-0.008393366,-0.0013449831,0.45310092
ABCA1,-0.0011149872,-0.0073359013,0.6345607,0.38964963,1.0610837,1.3678619,-0.009010493,-0.009781353,-0.01038545,-0.010538064,-0.002661299,1.0215489,-0.010036845,-0.011050805,-0.0012398197,0.5998178
ABCA2,-0.0022041386,-0.007193092,0.6216354,0.11243311,0.9611262,1.3872641,-0.009884139,-0.009170311,-0.011070082,-0.011839079,-0.0015465865,1.258225,-0.0072753653,-0.009640022,0.030098945,0.6525974
ABCA3,0.13922183,-0.0066249613,0.34084424,0.17581332,0.80718374,1.1424474,-0.004826187,-0.0043552495,-0.010162691,-0.0061217174,-0.0021083169,0.8096976,-0.0053084325,-0.008240967,0.08143615,0.5644623
ABCA5,0.0081210015,-0.0077519245,0.50112194,0.123586565,0.9826801,1.5044178,-0.0084307855,-0.008330416,-0.012184624,-0.010310309,-0.0032593368,1.1969703,-0.008042011,-0.011272418,0.14821106,0.62597066
ABCA7,-0.0013805713,-0.00931476,0.59970164,0.08959027,1.2744372,1.6475651,-0.009759307,-0.009406568,-0.013047699,-0.012478292,-0.00174107,1.0920147,-0.009167169,-0.0108275935,0.05818899,0.42142814
ABCB1,-0.005808667,-0.015651343,1.3573499,0.85606265,2.4553015,3.6674278,-0.022181487,-0.025455253,-0.027257418,-0.028398233,-0.008065674,2.854689,-0.02685204,-0.025562853,-0.0005760756,1.1276082
ABCB10,-0.0010304493,-0.008186494,0.5483789,0.054577984,1.058046,1.3670186,-0.008239173,-0.008232846,-0.010589328,-0.01071823,-0.0010170499,0.95082366,-0.0072618756,-0.009113777,0.005737588,0.4102959
ABCB4,-0.01250554,-0.029513946,3.451456,1.8651702,4.9956827,8.627381,-0.05780618,-0.062114213,-0.06748039,-0.068858735,-0.025100736,6.439742,-0.06630306,-0.06482887,0.016564488,1.8645606
ABCB6,0.079466105,-0.0070727565,0.31740773,0.16318455,0.87017775,1.179549,-0.0047840537,-0.0046217134,-0.010460834,-0.006350038,-0.0020962518,0.77718806,-0.0055690077,-0.0081141675,0.035253115,0.588432
ABCB8,-0.0013990463,-0.0078239925,0.37474072,0.16063955,0.90379584,1.0830966,-0.00434789,-0.007047928,-0.009186583,-0.0067143724,-0.0017111879,0.60619533,-0.007891925,-0.00671116,-0.0019430525,0.5630692
ABCC10,-0.0014448838,-0.009829201,0.6022061,0.016079716,1.4639593,1.7868954,-0.010375552,-0.010089097,-0.014802014,-0.013186081,-0.0027914878,1.0352408,-0.009755528,-0.011767193,0.04331892,0.42776477
ABCC11,0.1267169,-0.0065923017,0.38815913,0.278503,0.8876215,1.2403324,-0.0045319493,-0.0051647862,-0.010672536,-0.0062828627,-0.0021568222,0.83130324,-0.006176995,-0.009333824,0.051771067,0.68350047
ABCC3,-0.002011718,-0.009704372,0.49596956,0.06119464,1.1042026,1.3028314,-0.006258988,-0.01023829,-0.009701786,-0.009647082,-0.0011062954,0.7213309,-0.009714453,-0.0074289567,-0.0013344173,0.4386304
ABCC6,0.18520454,-0.0065209037,0.3648072,0.19387907,0.81926775,1.1802644,-0.004808944,-0.0046616215,-0.00980523,-0.0053033945,-0.0029344654,0.71469355,-0.007233026,-0.009071225,0.060019046,0.65519947
ABCD1,-0.0003782507,-0.0075403186,0.46779987,0.059765346,0.9456538,1.1288074,-0.00637312,-0.0069071488,-0.009159266,-0.008548942,-0.00080759876,0.7393732,-0.0059615765,-0.007845694,-0.00031620814,0.3817119
ABCD2,-0.0033410755,-0.012750805,1.1147116,0.36684874,1.8458023,2.6391768,-0.017459515,-0.01766415,-0.019213524,-0.021810694,-0.0056945276,1.7812852,-0.020150792,-0.018893167,-0.0011225848,0.61546594
ABCD4,-0.007878653,-0.029005138,3.414976,1.4122844,4.5665684,8.155597,-0.060298596,-0.061030626,-0.061706785,-0.065203264,-0.025668403,5.831254,-0.06785871,-0.06319233,0.06922257,1.6823546
ABCF2,-0.012406802,-0.029659238,3.4572425,1.8649592,4.9929104,8.635104,-0.057830594,-0.0620683,-0.06759274,-0.068963036,-0.025088003,6.453794,-0.06643772,-0.064938754,0.007933378,1.8708657
ABCF3,-0.012406802,-0.029659238,3.4572425,1.8649592,4.9929104,8.635104,-0.057830594,-0.0620683,-0.06759274,-0.068963036,-0.025088003,6.453794,-0.06643772,-0.064938754,0.007933378,1.8708657
ABCG1,-0.0035304837,-0.011546433,0.9172758,0.2536728,1.8432491,2.4603724,-0.013769831,-0.014609172,-0.019010529,-0.018474564,-0.0040640268,1.6251079,-0.015228856,-0.015888052,0.010386482,0.665897
ABHD1,0.12169642,-0.007115225,0.33197716,0.106543235,0.8379586,1.1521145,-0.0057328325,-0.004789084,-0.01017536,-0.006983061,-0.0018115749,0.82036984,-0.004847727,-0.008086986,0.086682476,0.5392338
ABHD11,-0.0003142712,-0.007470228,0.43133453,0.029436938,0.95816827,1.153337,-0.006581116,-0.0064859795,-0.009546823,-0.008430065,-0.0008794244,0.76941156,-0.0054468946,-0.007962257,0.028486408,0.38764828
